train_acc,valid_acc,loss
0.015625,0.006,6.04234504699707
0.0390625,0.021,4.884833335876465
0.015625,0.031,4.825836181640625
0.0390625,0.053,4.5793256759643555
0.0546875,0.0635,4.766039848327637
0.03125,0.067,4.530450344085693
0.0546875,0.0655,4.64123010635376
0.078125,0.066,4.473010063171387
0.0390625,0.07,4.539432525634766
0.0859375,0.0725,4.570741653442383
0.0859375,0.0695,4.4057416915893555
0.1015625,0.0715,4.520695686340332
0.09375,0.0785,4.569889068603516
0.078125,0.0865,4.269962310791016
0.046875,0.0765,4.497267246246338
0.1328125,0.0715,4.176944732666016
0.171875,0.0795,4.400007247924805
0.109375,0.0815,4.424952030181885
0.140625,0.091,4.3799052238464355
0.1015625,0.0795,4.3800859451293945
0.0859375,0.0985,4.2929229736328125
0.078125,0.0975,4.050523281097412
0.1171875,0.096,4.250235557556152
0.0859375,0.0905,4.040279388427734
0.1171875,0.1015,4.278522491455078
0.1015625,0.1065,4.17355489730835
0.1875,0.1015,4.441089630126953
0.078125,0.106,4.260792255401611
0.1640625,0.0975,4.279439449310303
0.109375,0.09,4.080974102020264
0.125,0.098,4.159509181976318
0.1640625,0.1085,4.097269535064697
0.15625,0.107,4.088793754577637
0.1484375,0.101,4.239047527313232
0.140625,0.1015,4.14512300491333
0.1640625,0.1145,4.244984149932861
0.1796875,0.1045,3.984342098236084
0.171875,0.1135,4.545503616333008
0.171875,0.1045,4.055192947387695
0.1796875,0.1075,4.381058692932129
0.09375,0.1005,4.204278945922852
0.0859375,0.1185,4.3121185302734375
0.15625,0.1145,3.95334529876709
0.2265625,0.11,4.167072296142578
0.1328125,0.1105,3.9631547927856445
0.140625,0.1105,4.189441204071045
0.140625,0.1135,4.315179824829102
0.1171875,0.107,4.303374290466309
0.109375,0.117,4.081662178039551
0.140625,0.102,4.149505615234375
0.1328125,0.122,4.077975273132324
0.1640625,0.117,3.9254369735717773
0.0546875,0.116,4.132885932922363
0.1796875,0.1185,3.942701816558838
0.140625,0.117,4.184963226318359
0.1015625,0.126,4.007667541503906
0.0703125,0.0975,3.9697318077087402
0.1796875,0.1185,3.916679859161377
0.15625,0.1185,3.962585926055908
0.15625,0.1135,3.9547300338745117
0.1953125,0.1165,3.892524003982544
0.078125,0.1175,3.9901039600372314
0.140625,0.1185,3.914215326309204
0.1484375,0.1265,4.0473456382751465
0.1484375,0.1225,3.9579617977142334
0.171875,0.1275,4.134778022766113
0.1328125,0.131,4.214382171630859
0.15625,0.1295,4.090461730957031
0.1328125,0.131,4.06151819229126
0.15625,0.118,4.274004936218262
